filter,n,max_tries,b,search_total_time,insert_total_time,insert_average_time
counting_cuckoo,100,8,763,0.0027,0.0039,0.0039
counting_cuckoo,500,4,763,0.0026,0.0044,0.0044
cuckoo,100,8,763,0.0024,0.0036,0.0036
cuckoo,500,4,763,0.0027,0.0037,0.0037
counting_cuckoo,100,8,783,0.0032,0.0038,0.0038
counting_cuckoo,500,4,783,0.0027,0.0036,0.0036
cuckoo,100,8,783,0.0027,0.0036,0.0036
cuckoo,500,4,783,0.0037,0.004,0.004
counting_cuckoo,100,8,803,0.003,0.0036,0.0036
counting_cuckoo,500,4,803,0.003,0.0042,0.0042
cuckoo,100,8,803,0.0027,0.0049,0.0049
cuckoo,500,4,803,0.0027,0.0039,0.0039
counting_cuckoo,100,8,823,0.0026,0.0102,0.0102
counting_cuckoo,500,4,823,0.0031,0.0061,0.0061
cuckoo,100,8,823,0.0036,0.0039,0.0039
cuckoo,500,4,823,0.0026,0.0045,0.0045
counting_cuckoo,100,8,843,0.0027,0.004,0.004
counting_cuckoo,500,4,843,0.0027,0.0037,0.0037
cuckoo,100,8,843,0.0025,0.0039,0.0039
cuckoo,500,4,843,0.0031,0.0038,0.0038
counting_cuckoo,100,8,863,0.0027,0.0041,0.0041
counting_cuckoo,500,4,863,0.0026,0.0039,0.0039
cuckoo,100,8,863,0.0025,0.0039,0.0039
cuckoo,500,4,863,0.0031,0.0039,0.0039
counting_cuckoo,100,8,883,0.0034,0.0039,0.0039
counting_cuckoo,500,4,883,0.0028,0.0042,0.0042
cuckoo,100,8,883,0.0027,0.0042,0.0042
cuckoo,500,4,883,0.0025,0.0038,0.0038
counting_cuckoo,100,8,903,0.0026,0.0037,0.0037
counting_cuckoo,500,4,903,0.0027,0.004,0.004
cuckoo,100,8,903,0.0028,0.0039,0.0039
cuckoo,500,4,903,0.0026,0.0038,0.0038
counting_cuckoo,100,8,923,0.0027,0.0045,0.0045
counting_cuckoo,500,4,923,0.0027,0.0043,0.0043
cuckoo,100,8,923,0.0029,0.0036,0.0036
cuckoo,500,4,923,0.0025,0.0041,0.0041
counting_cuckoo,100,8,943,0.0031,0.0045,0.0045
counting_cuckoo,500,4,943,0.0025,0.0078,0.0078
cuckoo,100,8,943,0.0025,0.0038,0.0038
cuckoo,500,4,943,0.0027,0.0038,0.0038
counting_cuckoo,100,8,963,0.0041,0.0046,0.0046
counting_cuckoo,500,4,963,0.0028,0.0042,0.0042
cuckoo,100,8,963,0.0026,0.0037,0.0037
cuckoo,500,4,963,0.0027,0.0039,0.0039
counting_cuckoo,100,8,983,0.0027,0.0037,0.0037
counting_cuckoo,500,4,983,0.0027,0.0035,0.0035
cuckoo,100,8,983,0.0028,0.0037,0.0037
cuckoo,500,4,983,0.0027,0.0037,0.0037
